Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Corporation,2019,2019-07-16,Rental,Business Expenses,NY,917050.34,240921.92,676128.4199999999,0.31552883867447484,213338.02
Non-Profit,2019,2019-04-27,Royalties,Charitable Contributions,PA,427445.14,13160.84,414284.3,0.192189960421358,79621.28
Partnership,2022,2022-10-13,Business Income,Business Expenses,OH,742851.43,3259.19,739592.2400000001,0.2857586274305019,211344.86
Corporation,2022,2022-07-12,Business Income,Medical Expenses,FL,350921.43,93558.42,257363.01,0.108357316216976,27887.17
Partnership,2021,2021-01-24,Royalties,Charitable Contributions,FL,228335.02,65817.24,162517.77999999997,0.12364462659040477,20094.45
Corporation,2019,2019-01-29,Business Income,Business Expenses,IL,21725.79,909.54,20816.25,0.1553565203918828,3233.94
Trust,2019,2019-01-13,Rental,Education Expenses,CA,144011.6,27116.52,116895.08,0.34487728787141625,40314.46
Corporation,2022,2022-09-30,Royalties,Charitable Contributions,NC,955066.64,200480.41,754586.23,0.2531307261787542,191008.96
Individual,2020,2020-03-30,Capital Gains,Education Expenses,CA,852036.39,71724.52,780311.87,0.3286232250862562,256428.6
Individual,2020,2020-12-11,Royalties,Charitable Contributions,IL,605834.09,173263.2,432570.88999999996,0.10518108001727253,45498.27
Trust,2022,2022-04-14,Rental,Business Expenses,FL,225043.33,56306.4,168736.93,0.205653077097903,34701.27
Partnership,2021,2021-10-29,Capital Gains,Mortgage Interest,TX,160364.14,23382.79,136981.35,0.36871809238595277,50507.5
Corporation,2022,2022-10-07,Rental,Business Expenses,MI,408523.9,85250.15,323273.75,0.10011993626827528,32366.15
Trust,2021,2021-08-17,Rental,Medical Expenses,NY,829966.11,131524.63,698441.48,0.10158058987112853,70948.1
Individual,2021,2021-12-27,Investment,Charitable Contributions,NC,632160.1,46031.31,586128.79,0.35294921853378924,206873.7
Non-Profit,2023,2023-02-01,Business Income,Mortgage Interest,MI,350486.46,14194.25,336292.21,0.1274056231870949,42845.52
Individual,2020,2020-06-12,Rental,Mortgage Interest,CA,163238.7,47334.65,115904.05000000002,0.15979156143139514,18520.49
Trust,2022,2022-10-28,Capital Gains,Education Expenses,PA,601200.39,124356.75,476843.64,0.15759891839290902,75150.04
Individual,2022,2022-05-09,Capital Gains,Medical Expenses,NC,882151.91,230887.33,651264.5800000001,0.295205063398556,192256.6
Individual,2019,2019-10-22,Capital Gains,Education Expenses,CA,34557.86,2068.48,32489.38,0.2165448568572631,7035.41
Corporation,2019,2019-03-20,Royalties,Education Expenses,FL,287887.4,7596.84,280290.56,0.2689342858868295,75379.74
Non-Profit,2020,2020-10-14,Capital Gains,Mortgage Interest,FL,702392.37,192720.72,509671.65,0.27561771075163455,140474.53
Partnership,2021,2021-07-30,Royalties,Business Expenses,NC,245316.29,62064.68,183251.61000000002,0.28039607528755484,51383.03
Trust,2022,2022-01-09,Investment,Mortgage Interest,TX,833255.02,55973.23,777281.79,0.3644843263544306,283307.03
Individual,2021,2021-09-29,Business Income,Medical Expenses,GA,470614.29,84890.92,385723.37,0.1893963023760064,73054.58
Trust,2023,2023-07-26,Salary,Education Expenses,FL,25855.88,1398.41,24457.47,0.10804113555522098,2642.41
Non-Profit,2022,2022-06-14,Royalties,Medical Expenses,GA,153913.38,22370.76,131542.62,0.15945004915580813,20974.48
Corporation,2023,2023-12-01,Capital Gains,Charitable Contributions,OH,900667.19,253100.69,647566.5,0.27856853296065465,180391.65
Non-Profit,2019,2019-12-22,Capital Gains,Business Expenses,NY,199856.82,22981.84,176874.98,0.24443980377414892,43235.29
Individual,2023,2023-06-11,Business Income,Charitable Contributions,GA,101798.14,27011.07,74787.07,0.13342560724883268,9978.51
Trust,2022,2022-10-10,Rental,Business Expenses,TX,241511.93,39780.31,201731.62,0.3034634075087434,61218.16
Individual,2021,2021-12-30,Capital Gains,Education Expenses,PA,988467.37,135591.07,852876.3,0.18832232306272137,160615.65
Trust,2020,2020-01-11,Salary,Business Expenses,TX,632314.3,22117.66,610196.64,0.3242442305987071,197852.74
Corporation,2020,2020-03-17,Rental,Education Expenses,IL,789250.37,27525.98,761724.39,0.17749201091490446,135199.99
Corporation,2019,2019-02-23,Rental,Charitable Contributions,FL,881809.75,251205.27,630604.48,0.15550572558888914,98062.61
Individual,2023,2023-01-23,Salary,Charitable Contributions,NC,237009.6,62951.05,174058.55,0.35376175934070253,61575.26
Corporation,2019,2019-04-06,Business Income,Business Expenses,MI,845887.46,1642.39,844245.07,0.22263310426286093,187956.9
Non-Profit,2021,2021-12-17,Investment,Business Expenses,PA,149826.27,35624.29,114201.97999999998,0.31879033170485965,36406.49
Trust,2023,2023-10-14,Rental,Mortgage Interest,CA,292795.82,58169.07,234626.75,0.30387868941331564,71298.07
Non-Profit,2021,2021-10-15,Capital Gains,Medical Expenses,PA,978701.79,218992.0,759709.79,0.3344523339611073,254086.71
Trust,2019,2019-03-29,Investment,Mortgage Interest,TX,26877.08,1460.17,25416.910000000003,0.3450456924454635,8770.0
Non-Profit,2021,2021-09-10,Business Income,Charitable Contributions,NC,201005.9,36930.17,164075.72999999998,0.26743967683174386,43880.36
Non-Profit,2021,2021-06-09,Salary,Medical Expenses,IL,517891.89,96018.97,421872.92000000004,0.31648715780774983,133517.36
Individual,2019,2019-04-10,Royalties,Education Expenses,NC,462703.69,19284.51,443419.18,0.3640153601942051,161411.39
Corporation,2019,2019-09-27,Rental,Business Expenses,NC,102910.04,24639.92,78270.12,0.20723244794090212,16220.11
Trust,2019,2019-03-27,Investment,Medical Expenses,NY,753505.93,136669.29,616836.64,0.2821573320476984,174044.98
Trust,2019,2019-02-11,Royalties,Mortgage Interest,TX,199225.34,2127.7,197097.63999999998,0.33263493945985967,65561.56
Non-Profit,2022,2022-06-04,Business Income,Charitable Contributions,OH,87383.67,24889.04,62494.63,0.36077623424768623,22546.58
Corporation,2019,2019-11-13,Royalties,Education Expenses,MI,508779.43,40826.81,467952.62,0.16778687728129102,78516.31
Partnership,2021,2021-09-22,Rental,Mortgage Interest,NC,330263.39,88243.52,242019.87,0.2749987946330924,66555.17
Corporation,2020,2020-09-14,Salary,Mortgage Interest,NY,768348.62,8701.78,759646.84,0.10169954366808102,77255.74
Individual,2022,2022-11-27,Royalties,Charitable Contributions,NY,921533.85,89450.71,832083.14,0.23885052740983662,198743.5
Partnership,2023,2023-12-09,Capital Gains,Education Expenses,GA,946170.12,15143.41,931026.71,0.2536804331482863,236183.26
Trust,2021,2021-12-19,Rental,Mortgage Interest,FL,228761.52,20152.76,208608.75999999998,0.3487045694985974,72742.83
Trust,2023,2023-10-31,Business Income,Business Expenses,GA,599616.14,102049.25,497566.89,0.29485665640221476,146710.91
Trust,2021,2021-05-31,Investment,Education Expenses,OH,442325.6,46332.12,395993.48,0.32531008388678767,128820.67
Trust,2021,2021-06-02,Royalties,Medical Expenses,TX,457204.81,3583.03,453621.77999999997,0.18064457434546816,81944.31
Corporation,2019,2019-08-19,Rental,Education Expenses,NY,821897.0,107810.9,714086.1,0.17605826987884898,125720.76
Trust,2022,2022-03-15,Capital Gains,Medical Expenses,TX,689567.06,155414.82,534152.24,0.23952478021170023,127942.7
Trust,2020,2020-02-29,Rental,Medical Expenses,CA,756082.47,179384.27,576698.2,0.2485911910470254,143362.09
Individual,2021,2021-06-01,Business Income,Business Expenses,NY,652967.16,22422.46,630544.7000000001,0.3541236734440697,223290.81
Individual,2019,2019-11-15,Royalties,Medical Expenses,TX,356179.82,40486.34,315693.48,0.2839021767104559,89626.07
Trust,2022,2022-05-21,Capital Gains,Mortgage Interest,TX,726527.56,22568.08,703959.4800000001,0.19750337274079025,139034.37
Trust,2023,2023-01-28,Rental,Charitable Contributions,MI,630422.25,123002.38,507419.87,0.13028931954924955,66111.39
Partnership,2023,2023-09-14,Rental,Mortgage Interest,TX,692380.98,158349.79,534031.19,0.24797611210176673,132426.98
Individual,2020,2020-11-28,Business Income,Mortgage Interest,PA,83780.43,15665.94,68114.48999999999,0.1146122556400343,7806.76
Partnership,2022,2022-04-06,Investment,Charitable Contributions,MI,221503.12,52228.21,169274.91,0.28276986081690836,47865.84
Non-Profit,2019,2019-07-29,Rental,Medical Expenses,OH,70328.11,706.13,69621.98,0.29869302285300514,20795.6
Corporation,2023,2023-01-16,Rental,Medical Expenses,OH,799080.54,120110.67,678969.87,0.23740322525388494,161189.64
Individual,2021,2021-01-03,Rental,Medical Expenses,NY,514393.39,66825.49,447567.9,0.10761442530479044,48164.76
Non-Profit,2019,2019-12-20,Salary,Business Expenses,CA,255581.14,5876.87,249704.27000000002,0.20963561529577204,52346.91
Individual,2019,2019-01-01,Investment,Charitable Contributions,NC,86522.9,2760.46,83762.43999999999,0.3281155434864217,27483.76
Non-Profit,2021,2021-10-12,Rental,Mortgage Interest,PA,266976.51,17208.34,249768.17,0.32638061204724145,81519.49
Individual,2021,2021-04-03,Royalties,Business Expenses,NC,147867.3,32013.65,115853.65,0.3225245170697088,37365.64
Partnership,2023,2023-12-21,Investment,Charitable Contributions,IL,846008.04,96613.54,749394.5,0.23179192115057215,173703.59
Trust,2023,2023-08-24,Capital Gains,Education Expenses,GA,895528.92,50161.07,845367.8500000001,0.1559563122400325,131840.45
Individual,2019,2019-09-02,Business Income,Education Expenses,TX,634927.67,63743.41,571184.26,0.17899001293407307,102236.28
Partnership,2021,2021-06-30,Capital Gains,Mortgage Interest,MI,583688.89,106904.4,476784.49,0.14386544683090538,68592.81
Partnership,2023,2023-04-19,Investment,Mortgage Interest,NC,593841.43,166395.5,427445.93000000005,0.15720898543946216,67198.34
Individual,2022,2022-04-24,Rental,Charitable Contributions,TX,511310.76,37133.8,474176.96,0.25805754261130487,122364.94
Trust,2020,2020-02-17,Investment,Medical Expenses,GA,632891.11,69117.03,563774.08,0.3581465212609517,201913.73
Partnership,2022,2022-09-29,Investment,Mortgage Interest,TX,716939.14,202646.09,514293.05000000005,0.29915720966004516,153854.47
Trust,2019,2019-10-12,Business Income,Mortgage Interest,TX,916600.89,208370.44,708230.45,0.17985178798253337,127376.51
Individual,2019,2019-05-28,Salary,Mortgage Interest,CA,926439.81,37503.92,888935.89,0.2184187612829812,194160.28
Individual,2021,2021-03-06,Investment,Mortgage Interest,NY,952003.19,128811.22,823191.97,0.15654384898180498,128865.64
Partnership,2023,2023-09-07,Business Income,Mortgage Interest,GA,298799.54,76431.85,222367.68999999997,0.15179742955558506,33754.84
Trust,2023,2023-05-24,Business Income,Charitable Contributions,IL,870714.18,80123.78,790590.4,0.13651866793647338,107930.35
Trust,2022,2022-04-21,Investment,Mortgage Interest,GA,120343.01,21409.18,98933.82999999999,0.26359383643139644,26078.35
Partnership,2021,2021-05-11,Investment,Education Expenses,OH,901237.64,108054.28,793183.36,0.31167811313067717,247217.89
Non-Profit,2019,2019-03-14,Royalties,Medical Expenses,FL,231487.41,2978.16,228509.25,0.10772253521247338,24615.6
Corporation,2023,2023-02-03,Salary,Mortgage Interest,IL,900823.48,1739.56,899083.9199999999,0.1237546724044868,111265.84
Individual,2020,2020-07-04,Royalties,Business Expenses,GA,324634.36,61127.68,263506.68,0.2761202948195811,72759.54
Partnership,2019,2019-09-10,Business Income,Mortgage Interest,FL,450528.16,34747.14,415781.01999999996,0.19272577067935937,80131.72
Individual,2020,2020-05-05,Capital Gains,Business Expenses,NC,853816.17,234522.39,619293.78,0.2883758253788836,178589.35
Individual,2022,2022-08-18,Salary,Business Expenses,CA,932978.82,161027.46,771951.36,0.21882547558754,168922.62
Trust,2021,2021-07-31,Salary,Education Expenses,OH,536156.69,85312.64,450844.04999999993,0.12120087914331676,54642.7
Non-Profit,2023,2023-03-04,Royalties,Education Expenses,GA,155229.3,36519.26,118710.03999999998,0.3301887049140616,39196.71
Partnership,2022,2022-08-06,Rental,Business Expenses,GA,472844.14,44674.1,428170.04000000004,0.17653067945941994,75585.15
Non-Profit,2019,2019-09-20,Business Income,Business Expenses,TX,188803.5,35207.47,153596.03,0.11527480523303756,17705.75
Non-Profit,2021,2021-07-29,Rental,Medical Expenses,PA,328661.34,88941.24,239720.10000000003,0.3292171494199715,78919.97
Corporation,2019,2019-06-05,Royalties,Business Expenses,GA,432933.0,55112.73,377820.27,0.11604282763365152,43843.33
Non-Profit,2023,2023-11-13,Salary,Mortgage Interest,NC,662935.62,57089.17,605846.45,0.3691441377980249,223644.67
Individual,2022,2022-05-22,Royalties,Charitable Contributions,GA,267634.02,25378.56,242255.46000000002,0.18060210448651953,43751.85
Individual,2021,2021-09-19,Investment,Education Expenses,NY,88995.24,2565.21,86430.03,0.3262260164170624,28195.72
Trust,2020,2020-08-19,Capital Gains,Business Expenses,NY,954437.92,172555.54,781882.38,0.12630550480655098,98756.05
Corporation,2022,2022-03-17,Investment,Business Expenses,GA,945467.93,136868.35,808599.5800000001,0.29283202866279945,236783.86
Partnership,2022,2022-04-29,Salary,Medical Expenses,PA,107354.94,19193.73,88161.21,0.35427174697870645,31233.03
Trust,2020,2020-05-27,Salary,Charitable Contributions,CA,543527.94,113178.11,430349.82999999996,0.15559701474209756,66961.15
Corporation,2019,2019-11-09,Royalties,Mortgage Interest,PA,486995.83,23658.15,463337.68,0.3096610701332917,143477.64
Partnership,2020,2020-05-24,Investment,Medical Expenses,FL,143791.38,27805.73,115985.65000000001,0.28192666195950716,32699.45
Trust,2022,2022-05-20,Business Income,Mortgage Interest,NC,437899.37,84295.95,353603.42,0.300715029591906,106333.86
Trust,2021,2021-06-09,Salary,Education Expenses,FL,678015.01,43366.88,634648.13,0.15253157933508865,96803.88
Corporation,2020,2020-05-02,Investment,Charitable Contributions,OH,305321.05,79681.79,225639.26,0.1475414094905896,33291.13
Partnership,2020,2020-02-21,Capital Gains,Charitable Contributions,OH,980592.88,246445.59,734147.29,0.34956646003162817,256633.27
Trust,2021,2021-02-06,Royalties,Medical Expenses,FL,241574.4,61712.21,179862.19,0.17226272659828196,30983.55
Corporation,2020,2020-03-17,Rental,Business Expenses,IL,351069.16,60102.78,290966.38,0.3698163967670546,107604.14
Trust,2022,2022-07-20,Investment,Charitable Contributions,NC,412242.02,65988.11,346253.91000000003,0.19991177045068287,69220.23
Corporation,2022,2022-09-22,Capital Gains,Business Expenses,NC,286343.02,67176.85,219166.17,0.3656583388687482,80139.94
Individual,2019,2019-05-25,Investment,Medical Expenses,NY,896306.18,37222.09,859084.0900000001,0.2635356084082069,226399.25
Trust,2020,2020-11-11,Business Income,Charitable Contributions,PA,757996.65,141184.99,616811.66,0.12071397915404658,74457.79
Individual,2021,2021-09-25,Salary,Education Expenses,CA,742740.03,200635.47,542104.56,0.23217404486042603,125862.61
Trust,2022,2022-01-31,Business Income,Education Expenses,CA,214542.57,1978.11,212564.46000000002,0.32141735830035445,68321.91
Individual,2021,2021-12-15,Investment,Education Expenses,GA,122223.14,8801.28,113421.86,0.30988389015510764,35147.61
Trust,2022,2022-08-26,Rental,Business Expenses,GA,481791.16,59688.21,422102.94999999995,0.35191991451702187,148546.43
Partnership,2020,2020-08-08,Salary,Education Expenses,TX,95557.31,1675.44,93881.87,0.15410828944551572,14467.97
Partnership,2023,2023-07-29,Royalties,Education Expenses,FL,355109.86,11096.89,344012.97,0.292317941154127,100561.16
Individual,2020,2020-09-03,Investment,Medical Expenses,IL,765319.45,223734.85,541584.6,0.220322802231266,119323.44
Trust,2022,2022-05-16,Investment,Mortgage Interest,FL,599595.71,84377.83,515217.87999999995,0.292933885781941,150924.78
Corporation,2019,2019-05-28,Capital Gains,Medical Expenses,NC,44509.77,2675.72,41834.049999999996,0.2645540530211704,11067.37
Partnership,2020,2020-10-09,Royalties,Business Expenses,CA,99626.34,16425.96,83200.38,0.21645648764841946,18009.26
Trust,2021,2021-05-11,Royalties,Business Expenses,IL,935929.11,132908.73,803020.38,0.3226432220870421,259089.08
Corporation,2020,2020-07-21,Royalties,Mortgage Interest,NC,615024.86,13574.06,601450.7999999999,0.34279100100500465,206171.92
Individual,2020,2020-03-15,Capital Gains,Education Expenses,OH,799455.2,77444.52,722010.6799999999,0.18549368905297375,133928.42
Trust,2023,2023-10-02,Business Income,Medical Expenses,CA,768657.73,197765.25,570892.48,0.18547987269119526,105889.06
Partnership,2021,2021-05-03,Royalties,Business Expenses,NC,725943.33,202546.03,523397.29999999993,0.11875628831535956,62156.72
Corporation,2020,2020-08-19,Royalties,Medical Expenses,GA,460029.73,88500.76,371528.97,0.30255206257356154,112406.86
Non-Profit,2021,2021-12-18,Business Income,Education Expenses,PA,553696.98,30045.47,523651.51,0.14238526304154184,74560.26
Non-Profit,2021,2021-08-18,Investment,Education Expenses,GA,342252.65,69834.96,272417.69,0.16272535559080561,44329.27
Corporation,2020,2020-04-01,Salary,Medical Expenses,TX,180690.18,24007.77,156682.41,0.13778307272427787,21588.18
Non-Profit,2019,2019-11-22,Business Income,Charitable Contributions,IL,350933.07,73928.95,277004.12,0.2503950117434429,69360.45
Partnership,2021,2021-12-29,Capital Gains,Business Expenses,IL,210128.48,43296.8,166831.68,0.19505798383645806,32541.85
Partnership,2021,2021-12-25,Salary,Business Expenses,PA,343532.94,78578.89,264954.05,0.19285981443902128,51098.99
Non-Profit,2023,2023-07-28,Rental,Charitable Contributions,IL,736316.04,161691.38,574624.66,0.32384160919593696,186087.37
Individual,2021,2021-12-23,Capital Gains,Education Expenses,FL,754979.5,203693.19,551286.31,0.3660296607227047,201787.14
Individual,2020,2020-12-02,Rental,Mortgage Interest,NY,833375.21,192205.05,641170.1599999999,0.19042570334628708,122095.28
Partnership,2019,2019-08-22,Investment,Business Expenses,NY,662093.76,98238.95,563854.81,0.17015237832833513,95941.24
Corporation,2023,2023-12-26,Salary,Medical Expenses,FL,918887.93,30351.41,888536.52,0.15042610165678677,133659.08
Trust,2020,2020-12-01,Business Income,Education Expenses,FL,706124.87,70490.64,635634.23,0.11339173111437886,72075.67
Trust,2019,2019-05-20,Capital Gains,Medical Expenses,CA,640830.36,147414.13,493416.23,0.35600141030734167,175656.87
Partnership,2022,2022-03-19,Rental,Charitable Contributions,MI,355582.5,58166.36,297416.14,0.22197697081545298,66019.53
Partnership,2021,2021-02-25,Royalties,Medical Expenses,FL,128197.54,30712.58,97484.95999999999,0.14822241576593656,14449.46
Corporation,2019,2019-08-19,Salary,Mortgage Interest,NY,906277.03,23336.29,882940.74,0.1284751345274441,113435.93
Partnership,2019,2019-10-11,Investment,Mortgage Interest,OH,880497.08,254825.61,625671.47,0.28614881931715613,179035.15
Partnership,2019,2019-05-20,Investment,Education Expenses,MI,337880.15,53303.03,284577.12,0.36390188927678946,103558.15
Individual,2022,2022-09-25,Business Income,Education Expenses,CA,188130.84,9362.04,178768.8,0.2788461968694552,49849.0
Individual,2020,2020-06-08,Capital Gains,Medical Expenses,TX,757578.69,196566.3,561012.3899999999,0.22099703891592576,123982.08
Partnership,2019,2019-06-09,Capital Gains,Mortgage Interest,NY,774924.54,4111.69,770812.8500000001,0.15139872927316228,116700.09
Partnership,2023,2023-01-15,Royalties,Charitable Contributions,NY,575449.24,159669.9,415779.33999999997,0.23442363015169843,97468.5
Non-Profit,2021,2021-01-25,Investment,Medical Expenses,GA,443271.51,67719.09,375552.42000000004,0.1954515148122554,73402.29
Non-Profit,2020,2020-01-29,Business Income,Charitable Contributions,CA,71062.86,12192.2,58870.66,0.29775146235873673,17528.83
Trust,2023,2023-04-20,Business Income,Business Expenses,MI,147118.59,37501.49,109617.1,0.32589788688960875,35723.98
Individual,2019,2019-08-16,Royalties,Mortgage Interest,GA,179828.5,20333.3,159495.2,0.13608053316595392,21704.19
Trust,2020,2020-09-05,Business Income,Education Expenses,TX,375494.22,77015.08,298479.13999999996,0.18988256549447227,56675.98
Non-Profit,2019,2019-06-09,Investment,Mortgage Interest,IL,436342.61,52188.34,384154.27,0.13462006356033468,51714.87
Trust,2023,2023-04-02,Royalties,Education Expenses,NY,883213.23,145735.85,737477.38,0.2297594907742206,169442.43
Trust,2020,2020-11-27,Royalties,Business Expenses,NC,599240.41,41836.71,557403.7000000001,0.29828547839754094,166265.43
Trust,2022,2022-07-29,Salary,Medical Expenses,MI,24095.0,220.17,23874.83,0.2774607278588539,6624.33
Corporation,2020,2020-07-04,Salary,Education Expenses,IL,168737.89,39613.15,129124.74000000002,0.2925136515696398,37770.75
Non-Profit,2022,2022-04-29,Business Income,Business Expenses,OH,300590.68,31557.2,269033.48,0.2393344315972598,64388.98
Individual,2023,2023-06-20,Royalties,Medical Expenses,GA,276868.12,36690.21,240177.91,0.12209605720768957,29324.78
Trust,2019,2019-10-03,Investment,Education Expenses,GA,310912.66,52513.1,258399.55999999997,0.2594778127158276,67048.95
Partnership,2022,2022-03-10,Salary,Business Expenses,PA,365314.97,74516.01,290798.95999999996,0.2596611237315412,75509.18
Non-Profit,2023,2023-11-15,Rental,Mortgage Interest,NY,810551.57,197446.68,613104.8899999999,0.2848090271270549,174617.81
Individual,2021,2021-04-29,Rental,Mortgage Interest,OH,154716.56,28121.55,126595.01,0.33721627774419294,42689.9
Non-Profit,2022,2022-04-24,Business Income,Mortgage Interest,CA,710896.69,144032.11,566864.58,0.16052604207459276,90996.53
Trust,2023,2023-04-17,Capital Gains,Mortgage Interest,NY,246618.91,43314.63,203304.28,0.1463424946185392,29752.06
Trust,2019,2019-05-15,Investment,Business Expenses,NY,589798.7,71353.59,518445.11,0.25298395692724684,131158.3
Corporation,2020,2020-12-18,Royalties,Mortgage Interest,NC,664573.17,67883.4,596689.77,0.18922555554185028,112908.95
Corporation,2020,2020-09-06,Rental,Business Expenses,MI,333739.41,38104.77,295634.63999999996,0.14606462198418127,43181.76
Trust,2020,2020-01-06,Rental,Mortgage Interest,MI,934178.79,169422.17,764756.62,0.12382544061281317,94696.33
Non-Profit,2020,2020-06-21,Capital Gains,Education Expenses,TX,950141.4,69069.87,881071.53,0.3540441749221225,311938.24
Non-Profit,2022,2022-08-10,Rental,Charitable Contributions,OH,195314.6,48107.5,147207.1,0.28949598767636475,42615.86
Individual,2020,2020-09-17,Investment,Medical Expenses,CA,116172.81,24997.76,91175.05,0.13596785862587976,12396.88
Partnership,2023,2023-09-09,Rental,Mortgage Interest,IL,712862.53,144258.0,568604.53,0.22759793369789666,129413.22
Trust,2020,2020-02-07,Business Income,Mortgage Interest,MI,39404.33,8370.97,31033.36,0.28297640009941216,8781.71
Partnership,2020,2020-09-21,Business Income,Mortgage Interest,GA,844910.14,141875.38,703034.76,0.21137823841038844,148606.25
Trust,2019,2019-12-12,Capital Gains,Medical Expenses,NC,612823.27,54320.87,558502.4,0.275566232247895,153904.4
Corporation,2020,2020-01-28,Investment,Medical Expenses,FL,374585.13,103108.04,271477.09,0.3002939147145579,81522.92
Individual,2020,2020-10-31,Rental,Education Expenses,TX,357368.25,22411.56,334956.69,0.23494925395448038,78697.82
Non-Profit,2019,2019-01-28,Royalties,Medical Expenses,GA,182061.7,28800.95,153260.75,0.17290841525224898,26500.07
Non-Profit,2022,2022-07-28,Rental,Mortgage Interest,PA,57342.43,6372.28,50970.15,0.2813764961312144,14341.8
Individual,2023,2023-05-29,Royalties,Business Expenses,MI,944342.9,127261.31,817081.5900000001,0.3049562485714381,249174.14
Individual,2023,2023-02-16,Business Income,Medical Expenses,IL,540379.24,130621.44,409757.8,0.21350493653244446,87485.31
Corporation,2021,2021-02-22,Business Income,Business Expenses,MI,105731.15,13057.45,92673.7,0.32328072283230314,29959.62
Trust,2023,2023-03-22,Rental,Charitable Contributions,TX,550502.49,149669.21,400833.28,0.16003196154961982,64146.14
Trust,2023,2023-10-18,Royalties,Business Expenses,PA,56967.89,15790.6,41177.29,0.1993121355963014,8207.13
Trust,2019,2019-09-07,Capital Gains,Business Expenses,GA,648870.93,41101.86,607769.0700000001,0.2290895620982437,139233.55
Trust,2020,2020-05-01,Salary,Charitable Contributions,NY,100891.5,23858.52,77032.98,0.32769101530094014,25243.02
Corporation,2023,2023-11-15,Investment,Business Expenses,OH,158850.83,47113.59,111737.23999999999,0.26142077018100596,29210.44
Corporation,2021,2021-07-31,Rental,Business Expenses,PA,304047.0,1097.46,302949.54,0.28038093623260163,84941.28
Corporation,2019,2019-08-09,Investment,Charitable Contributions,OH,651543.09,154760.53,496782.55999999994,0.2218642087683581,110218.27
Non-Profit,2020,2020-10-22,Investment,Business Expenses,IL,41758.28,1182.73,40575.549999999996,0.11763291746472446,4773.02
Corporation,2022,2022-01-28,Salary,Mortgage Interest,NY,171461.06,2211.72,169249.34,0.3240913550653015,54852.25
Partnership,2023,2023-03-08,Capital Gains,Mortgage Interest,TX,388971.67,70659.6,318312.06999999995,0.1393576717358252,44359.23
Non-Profit,2021,2021-10-07,Business Income,Education Expenses,PA,639394.2,81191.25,558202.95,0.2160307188559394,120588.98
Trust,2021,2021-03-23,Royalties,Business Expenses,TX,134062.67,17194.46,116868.21000000002,0.2588188332357221,30247.69
Trust,2023,2023-09-06,Investment,Medical Expenses,OH,507719.0,54266.16,453452.83999999997,0.34495493059262883,156420.79
Partnership,2019,2019-09-03,Capital Gains,Medical Expenses,PA,447922.48,129383.49,318538.99,0.36414183579030457,115993.37
Partnership,2021,2021-03-22,Rental,Medical Expenses,FL,280859.11,72574.83,208284.27999999997,0.31018836529617977,64607.36
Individual,2023,2023-07-26,Capital Gains,Business Expenses,FL,906595.88,65937.8,840658.08,0.2246803027161703,188879.31
Non-Profit,2023,2023-01-05,Salary,Mortgage Interest,MI,929067.58,207851.53,721216.0499999999,0.17555640546047918,126614.1
Individual,2023,2023-03-13,Investment,Charitable Contributions,MI,107902.4,27803.25,80099.15,0.22847821536792903,18300.91
Non-Profit,2019,2019-01-17,Capital Gains,Business Expenses,OH,231446.25,31582.93,199863.32,0.3493114374649361,69814.54
Partnership,2021,2021-11-19,Capital Gains,Education Expenses,CA,690999.4,157433.93,533565.47,0.2129854439038164,113641.68
Individual,2020,2020-03-18,Rental,Medical Expenses,TX,624917.12,1842.77,623074.35,0.3143732538842423,195877.91
Corporation,2021,2021-06-12,Investment,Business Expenses,IL,402034.91,76809.79,325225.12,0.23012376393331194,74842.03
Non-Profit,2021,2021-01-16,Rental,Medical Expenses,OH,948140.96,105463.7,842677.26,0.36829288149758954,310352.04
Non-Profit,2020,2020-10-20,Salary,Medical Expenses,PA,614621.78,43642.83,570978.9500000001,0.33035745555885854,188627.15
Non-Profit,2019,2019-04-23,Capital Gains,Medical Expenses,IL,49232.13,2481.29,46750.84,0.17580192071878287,8218.89
Non-Profit,2023,2023-02-22,Capital Gains,Medical Expenses,MI,258962.53,39686.14,219276.39,0.3335960498983669,73149.74
Corporation,2019,2019-08-16,Business Income,Mortgage Interest,NY,898939.87,198766.05,700173.8200000001,0.21305802365993654,149177.65
Partnership,2023,2023-08-19,Royalties,Business Expenses,PA,366452.86,80213.24,286239.62,0.31440106510516097,89994.04
Trust,2022,2022-03-24,Salary,Mortgage Interest,NC,227501.97,38990.23,188511.74,0.26391960023150784,49751.94
Corporation,2023,2023-09-28,Rental,Mortgage Interest,FL,24182.01,3078.33,21103.68,0.3356585286576334,7083.63
Individual,2020,2020-10-12,Royalties,Charitable Contributions,OH,223397.43,53887.73,169509.69999999998,0.2256925990405127,38257.08
Non-Profit,2019,2019-08-23,Salary,Mortgage Interest,NC,649133.39,66877.5,582255.89,0.1208877148270355,70387.58
Trust,2023,2023-11-28,Investment,Business Expenses,OH,811518.6,110648.57,700870.03,0.18623382021480886,130525.7
Corporation,2022,2022-10-25,Salary,Mortgage Interest,GA,755333.74,11614.21,743719.53,0.3630030995216592,269972.49
Corporation,2019,2019-10-24,Capital Gains,Charitable Contributions,NY,251928.1,46540.37,205387.73,0.2989009610730305,61390.59
Corporation,2019,2019-09-25,Rental,Business Expenses,GA,379282.26,79165.47,300116.79000000004,0.2282252335632016,68494.22
